transaction_id,user_id,stock_id,transaction_type,transaction_date,quantity,price_per_share,total_amount,commission,transaction_status
77,89,50,BUY,2024-02-22 15:00:36,50,504.99,25249.5,6.02,Completed
78,5,12,BUY,2023-04-05 09:39:33,50,111.756,5587.8,8.03,Pending
79,79,2,SELL,2023-09-01 14:34:56,10,28.8829,288.83,5.23,Completed
80,47,43,SELL,2023-10-05 11:02:01,100,150.782,15078.2,5.44,Cancelled
81,53,19,BUY,2023-12-28 14:27:00,100,122.6822,12268.22,3.2,Completed
82,58,46,BUY,2023-10-25 11:20:47,10,220.4324,2204.32,6.85,Completed
83,52,41,BUY,2023-05-02 09:35:51,10,194.5466,1945.47,2.37,Completed
84,100,32,BUY,2023-08-07 15:01:05,50,128.8516,6442.58,5.97,Completed
85,52,42,SELL,2024-01-02 10:42:15,25,213.0449,5326.12,9.18,Completed
86,95,3,BUY,2023-12-08 14:26:09,50,48.4389,2421.94,7.64,Completed
87,25,42,SELL,2023-04-26 09:58:22,100,510.9204,51092.04,5.81,Completed
88,40,43,BUY,2023-05-23 14:39:02,500,185.3549,92677.45,7.93,Completed
89,35,4,BUY,2023-05-18 15:31:49,25,17.9666,449.16,0.2,Completed
90,71,5,SELL,2023-11-01 12:51:07,10,24.7828,247.83,1.95,Completed
91,13,16,BUY,2023-10-16 10:26:23,50,149.9683,7498.41,5.4,Completed
92,33,3,BUY,2023-08-30 10:02:34,25,20.3549,508.87,8.4,Completed
93,38,5,BUY,2023-07-21 15:12:06,250,20.8363,5209.08,1.13,Cancelled
94,25,6,SELL,2024-02-06 12:18:50,10,45.7073,457.07,2.49,Completed
95,14,34,BUY,2023-06-16 10:36:39,10,137.5827,1375.83,4.62,Completed
96,16,41,BUY,2024-02-22 10:55:34,100,252.3254,25232.54,0.53,Completed
97,84,41,BUY,2024-01-12 11:02:16,50,570.898,28544.9,9.1,Completed
98,44,1,BUY,2023-05-22 13:58:17,25,39.0547,976.37,8.53,Completed
99,11,35,BUY,2023-11-08 15:20:39,100,165.364,16536.4,1.64,Completed
100,57,6,BUY,2023-03-06 12:56:56,50,30.9582,1547.91,9.71,Cancelled
101,25,45,BUY,2023-03-10 13:02:36,250,391.0006,97750.15,1.38,Completed
102,89,14,BUY,2023-10-24 09:43:40,25,148.9524,3723.81,5.65,Completed
103,44,15,BUY,2023-09-22 09:51:12,50,153.4142,7670.71,6.23,Completed
104,64,24,BUY,2023-10-26 14:27:26,25,241.7347,6043.37,0.63,Completed
105,60,10,BUY,2024-01-04 09:59:23,10,22.4367,224.37,1.36,Completed
106,75,36,BUY,2023-03-09 09:56:49,50,317.0807,15854.03,5.61,Completed
107,7,12,SELL,2023-06-30 13:43:37,100,151.1779,15117.79,2.76,Completed
108,19,23,BUY,2023-07-10 09:41:25,25,221.5633,5539.08,2.18,Completed
109,5,7,BUY,2024-01-03 14:52:28,50,33.682,1684.1,3.3,Completed
110,100,18,SELL,2023-09-22 12:27:08,50,182.4014,9120.07,8.43,Completed
111,62,14,SELL,2023-11-07 14:30:45,100,182.5117,18251.17,5.16,Completed
112,5,47,SELL,2023-06-16 11:41:48,10,528.7614,5287.61,4.72,Completed
113,49,42,BUY,2023-03-13 15:40:38,100,332.3435,33234.35,9.92,Completed
114,29,32,BUY,2023-09-01 10:32:59,25,273.1215,6828.04,1.73,Completed
115,67,17,BUY,2024-01-26 12:39:03,100,170.2777,17027.77,5.6,Completed
116,29,10,BUY,2023-03-28 10:26:36,100,26.0065,2600.65,8.98,Completed
117,25,36,BUY,2023-08-30 15:20:03,50,275.9131,13795.65,1.19,Completed
118,62,35,BUY,2023-05-22 11:04:30,25,123.9488,3098.72,0.65,Completed
119,55,5,BUY,2023-05-03 15:15:34,50,19.2408,962.04,0.49,Completed
120,14,9,BUY,2023-07-19 10:26:08,50,22.3764,1118.82,5.54,Completed
121,86,46,SELL,2023-10-05 10:53:19,10,509.3533,5093.53,1.79,Completed
122,39,3,BUY,2023-10-09 15:11:11,250,20.6987,5174.67,6.3,Completed
123,94,7,BUY,2023-10-06 09:36:25,10,15.8475,158.47,3.59,Completed
124,50,47,BUY,2023-03-27 13:03:08,100,340.7695,34076.95,7.41,Completed
125,96,25,BUY,2023-03-15 15:49:58,25,208.2167,5205.42,4.59,Completed
126,93,39,BUY,2024-03-14 12:22:50,50,295.6625,14783.13,7.58,Completed
127,36,32,SELL,2023-08-28 13:10:24,250,313.0602,78265.05,5.67,Completed
128,75,46,SELL,2024-01-05 12:02:33,10,388.7733,3887.73,1.54,Completed
129,77,26,BUY,2023-09-13 11:42:19,25,215.6502,5391.26,8.26,Completed
130,5,13,SELL,2023-05-04 12:49:26,50,140.6795,7033.97,8.82,Completed
131,50,22,BUY,2023-07-20 13:27:16,10,187.3335,1873.33,6.89,Completed
132,46,9,BUY,2023-03-01 09:56:17,50,42.3296,2116.48,3.19,Completed
133,77,3,SELL,2024-01-03 15:55:37,10,43.7078,437.08,6.99,Completed
134,6,3,SELL,2024-02-21 15:45:17,250,29.991,7497.75,5.33,Completed
135,91,31,BUY,2023-05-25 09:33:06,100,200.1904,20019.04,7.02,Completed
136,85,16,SELL,2023-11-06 13:07:04,50,130.7548,6537.74,9.76,Completed
137,20,37,BUY,2023-03-31 15:09:46,25,354.2936,8857.34,8.33,Completed
138,6,35,BUY,2024-03-08 13:34:56,10,263.7342,2637.34,2.98,Completed
139,32,50,BUY,2023-10-10 11:15:42,100,618.4728,61847.28,3.31,Completed
140,35,2,BUY,2023-03-27 10:16:26,25,42.7229,1068.07,7.96,Completed
141,13,21,SELL,2023-03-01 13:18:47,10,206.3326,2063.33,7.4,Completed
142,95,2,BUY,2024-01-23 13:39:57,50,16.1517,807.59,9.85,Completed
143,79,45,SELL,2023-06-07 10:05:10,10,467.6559,4676.56,5.54,Completed
144,61,47,SELL,2023-12-19 10:34:57,50,234.4638,11723.19,3.51,Completed
145,5,9,BUY,2023-09-26 10:11:34,25,42.102,1052.55,1.3,Completed
146,26,36,BUY,2023-11-29 15:46:56,10,252.0689,2520.69,5.57,Completed
147,33,23,BUY,2023-09-06 10:30:44,100,217.52,21752.0,1.26,Completed
148,16,31,BUY,2023-11-20 15:16:21,10,359.4782,3594.78,0.05,Completed
149,33,10,BUY,2023-06-21 14:32:22,10,26.9761,269.76,8.4,Completed
150,85,1,BUY,2023-09-19 09:35:55,250,24.4361,6109.02,5.7,Pending
151,52,16,BUY,2023-06-14 13:45:08,50,169.7838,8489.19,7.56,Completed
152,34,24,BUY,2024-01-11 15:58:41,250,223.3242,55831.05,1.14,Completed
153,89,37,BUY,2023-06-16 10:48:18,25,148.1324,3703.31,2.58,Cancelled
154,92,1,BUY,2023-05-15 10:31:39,10,33.8883,338.88,0.85,Completed
155,60,48,SELL,2023-09-20 11:00:36,25,255.5643,6389.11,9.94,Completed
156,70,20,BUY,2024-03-06 10:06:33,25,118.2238,2955.59,7.39,Completed
157,35,21,BUY,2024-02-12 09:36:59,25,291.9698,7299.25,7.51,Completed
158,89,42,SELL,2023-12-07 15:00:43,50,609.675,30483.75,2.68,Completed
159,74,9,BUY,2023-08-17 09:59:09,25,40.4731,1011.83,7.24,Completed
160,11,14,BUY,2023-11-01 12:59:20,10,168.786,1687.86,2.43,Completed
161,69,15,SELL,2023-08-30 14:23:02,10,186.428,1864.28,2.92,Completed
162,47,31,BUY,2023-10-17 15:36:28,10,158.9872,1589.87,9.24,Completed
163,54,45,BUY,2024-02-20 15:09:08,250,217.648,54412.0,0.67,Completed
164,67,28,SELL,2023-09-29 10:41:08,50,214.6356,10731.78,5.3,Completed
165,79,6,SELL,2023-08-10 09:55:06,25,17.3531,433.83,2.77,Completed
166,36,11,SELL,2024-01-10 15:06:49,100,147.8892,14788.92,2.58,Completed
167,36,2,SELL,2024-02-15 10:43:02,25,36.8903,922.26,7.4,Completed
168,2,43,BUY,2023-12-29 11:20:58,25,181.6866,4542.16,6.76,Completed
169,23,13,SELL,2023-05-31 10:07:57,100,132.3168,13231.68,7.92,Completed
170,41,21,BUY,2023-09-22 14:58:56,50,258.3244,12916.22,6.85,Completed
171,25,38,SELL,2023-12-25 14:56:19,10,218.3139,2183.14,9.16,Completed
172,62,44,SELL,2023-12-15 15:56:46,50,389.49,19474.5,8.96,Completed
173,70,19,BUY,2024-03-15 11:42:50,250,180.5194,45129.85,5.6,Completed
174,69,43,SELL,2023-05-23 13:26:23,50,403.3318,20166.59,4.89,Completed
175,64,44,BUY,2024-01-23 12:09:07,25,635.0491,15876.23,6.67,Completed
176,81,34,BUY,2023-06-08 13:49:38,10,307.8506,3078.51,8.81,Completed
177,77,38,BUY,2023-04-24 10:52:26,250,116.8574,29214.35,4.19,Completed
178,70,6,SELL,2023-11-09 11:19:18,10,28.0644,280.64,8.34,Completed
179,32,41,BUY,2023-11-20 12:38:05,25,260.3686,6509.22,9.4,Completed
180,3,37,SELL,2023-03-20 10:24:01,25,170.7303,4268.26,1.31,Completed
181,32,38,SELL,2024-02-08 12:09:08,25,172.7059,4317.65,7.11,Completed
182,21,37,BUY,2023-08-16 15:03:59,10,278.1182,2781.18,1.27,Completed
183,99,31,BUY,2024-01-16 14:53:08,50,350.0136,17500.68,2.51,Completed
184,42,25,BUY,2023-05-02 09:45:50,50,156.2338,7811.69,9.65,Completed
185,49,47,BUY,2023-09-27 13:23:03,100,562.1771,56217.71,9.81,Completed
186,70,13,BUY,2024-01-18 15:52:15,25,166.2728,4156.82,0.38,Completed
187,26,18,BUY,2023-12-12 11:40:15,25,180.8391,4520.98,2.92,Completed
188,4,22,BUY,2023-05-09 10:12:43,50,268.9628,13448.14,3.4,Completed
189,30,28,BUY,2023-08-28 09:35:27,25,174.2278,4355.69,8.12,Completed
190,76,10,SELL,2024-01-30 09:56:32,10,36.7406,367.41,9.08,Completed
191,65,38,BUY,2023-04-05 09:54:56,10,301.3048,3013.05,4.96,Cancelled
192,62,38,BUY,2023-04-26 11:51:17,10,308.7404,3087.4,1.18,Completed
193,97,45,BUY,2023-07-19 11:19:55,10,486.8133,4868.13,5.89,Completed
194,15,13,BUY,2023-07-10 11:18:50,50,117.9676,5898.38,0.24,Completed
195,82,41,BUY,2024-02-28 13:03:00,10,235.054,2350.54,9.28,Pending
196,21,38,SELL,2023-08-29 14:21:42,50,296.8828,14844.14,7.32,Completed
197,18,4,BUY,2023-05-11 12:04:57,100,40.2411,4024.11,6.1,Completed
198,24,14,BUY,2023-03-28 10:40:43,100,145.6713,14567.13,9.47,Pending
199,14,31,BUY,2023-08-03 12:33:27,10,298.9375,2989.38,1.54,Completed
200,89,36,BUY,2023-04-07 13:28:34,50,347.9333,17396.66,3.7,Completed
201,77,11,BUY,2023-04-03 11:47:09,10,179.2607,1792.61,4.08,Completed
202,47,43,BUY,2023-07-18 10:46:23,10,158.4684,1584.68,2.27,Completed
203,2,19,BUY,2024-01-22 13:34:34,10,140.2778,1402.78,3.15,Completed
204,16,28,BUY,2024-02-23 09:57:37,10,241.1281,2411.28,3.87,Completed
205,95,49,SELL,2023-07-19 15:43:11,10,484.8424,4848.42,6.21,Completed
206,2,38,BUY,2023-11-08 15:15:38,250,224.9817,56245.42,9.66,Completed
207,40,45,BUY,2023-11-29 15:02:58,25,193.7811,4844.53,3.03,Completed
208,28,7,BUY,2024-02-06 09:55:31,10,20.0784,200.78,6.8,Completed
209,44,45,BUY,2024-01-23 12:06:50,100,243.4189,24341.89,6.75,Completed
210,55,35,BUY,2023-04-11 14:57:49,50,268.8649,13443.24,7.22,Completed
211,60,35,BUY,2023-03-06 13:25:40,25,224.2256,5605.64,6.8,Completed
212,38,44,SELL,2024-02-29 09:59:45,10,533.542,5335.42,4.99,Completed
213,20,13,BUY,2023-09-11 11:24:43,50,160.2205,8011.02,0.59,Completed
214,72,49,BUY,2023-08-07 14:30:52,25,471.7167,11792.92,8.89,Completed
215,14,46,BUY,2024-02-16 11:35:03,50,315.1783,15758.91,2.2,Completed
216,49,1,BUY,2023-12-25 13:16:02,10,37.1719,371.72,2.46,Completed
217,22,30,SELL,2023-12-13 12:55:09,10,249.8478,2498.48,5.12,Completed
218,27,50,BUY,2023-06-02 15:09:36,50,595.4932,29774.66,7.98,Completed
219,43,35,SELL,2023-08-28 15:38:32,25,345.7686,8644.22,3.77,Completed
220,43,32,SELL,2024-03-08 12:59:11,50,114.6501,5732.51,7.77,Completed
221,92,31,SELL,2023-10-18 12:59:04,10,308.5934,3085.93,2.74,Completed
222,43,12,BUY,2024-02-28 11:56:53,10,167.5709,1675.71,5.22,Completed
223,12,10,BUY,2023-06-05 09:41:41,50,38.3476,1917.38,8.19,Completed
224,30,6,BUY,2023-03-13 11:05:06,50,22.1355,1106.78,6.88,Completed
225,44,34,BUY,2023-07-20 11:54:28,10,179.8391,1798.39,1.42,Completed
226,86,2,SELL,2024-02-07 13:04:21,25,22.9779,574.45,6.09,Completed
227,26,32,BUY,2023-06-29 10:42:36,10,346.9151,3469.15,7.47,Completed
228,7,20,BUY,2024-01-26 13:54:57,10,182.2582,1822.58,3.45,Completed
229,32,27,BUY,2023-11-22 10:05:18,10,195.5796,1955.8,8.63,Completed
230,61,11,BUY,2023-04-05 13:48:45,250,102.0305,25507.62,6.24,Cancelled
231,88,31,SELL,2023-10-16 12:40:22,10,166.7158,1667.16,3.56,Completed
232,22,46,SELL,2024-03-15 13:54:29,50,159.1785,7958.93,0.88,Completed
233,80,35,BUY,2023-10-05 11:03:01,100,102.053,10205.3,5.13,Completed
234,24,44,BUY,2023-05-11 10:23:56,100,594.784,59478.4,3.88,Completed
235,69,10,SELL,2023-09-22 10:02:11,25,22.5194,562.99,7.99,Completed
236,44,28,SELL,2023-08-29 12:27:10,25,260.4311,6510.78,8.72,Completed
237,97,42,BUY,2023-12-05 11:59:04,10,601.4077,6014.08,0.38,Completed
238,64,49,BUY,2023-08-07 15:49:54,500,482.1475,241073.75,2.63,Completed
239,98,35,BUY,2023-09-25 12:43:37,10,248.8658,2488.66,8.83,Completed
240,24,24,BUY,2023-06-06 10:35:06,500,268.1615,134080.75,4.2,Completed
241,3,46,BUY,2023-10-05 14:27:10,10,623.1404,6231.4,6.21,Completed
242,35,16,SELL,2023-10-30 10:09:08,10,198.4718,1984.72,3.27,Completed
243,10,19,BUY,2023-12-13 10:10:20,100,134.3217,13432.17,0.91,Completed
244,9,11,BUY,2024-02-16 13:52:23,25,123.7352,3093.38,2.73,Completed
245,34,27,SELL,2023-09-14 13:26:03,10,275.1314,2751.31,2.63,Completed
246,97,21,BUY,2024-02-12 11:23:07,100,230.2481,23024.81,2.06,Completed
247,57,43,BUY,2023-08-04 15:16:43,10,505.7118,5057.12,1.97,Completed
248,6,49,BUY,2024-01-17 10:39:17,500,526.3223,263161.15,3.8,Completed
249,92,23,BUY,2023-12-11 15:53:53,25,207.0097,5175.24,1.56,Completed
250,8,2,SELL,2023-03-22 13:15:24,25,49.8529,1246.32,0.96,Completed
251,87,41,BUY,2023-10-24 10:11:18,50,376.7857,18839.28,0.12,Completed
252,35,49,SELL,2023-11-09 15:48:07,50,250.8385,12541.93,0.72,Completed
253,4,49,BUY,2023-08-08 13:43:32,100,370.8741,37087.41,4.87,Completed
254,28,27,BUY,2024-02-02 12:23:27,100,228.7108,22871.08,7.34,Completed
255,7,22,SELL,2023-05-30 12:54:17,100,260.0656,26006.56,9.39,Completed
256,71,39,BUY,2023-08-29 11:57:38,10,246.4929,2464.93,2.63,Completed
257,89,20,BUY,2023-09-06 13:42:57,10,181.5548,1815.55,8.44,Completed
258,19,46,BUY,2023-04-06 13:41:57,25,646.7267,16168.17,9.38,Pending
259,89,14,BUY,2024-02-16 09:34:09,10,115.9206,1159.21,2.78,Completed
260,86,22,SELL,2023-07-27 10:07:21,100,231.1015,23110.15,0.63,Completed
261,60,43,BUY,2023-03-02 11:59:28,100,433.7738,43377.38,3.3,Completed
262,61,33,BUY,2023-11-27 11:41:20,250,339.3408,84835.2,7.83,Completed
263,8,5,BUY,2023-11-28 13:11:54,25,32.067,801.67,6.35,Completed
264,76,4,BUY,2023-05-25 15:04:11,50,27.1792,1358.96,2.6,Completed
265,62,46,BUY,2023-06-15 10:16:48,250,301.7919,75447.98,4.04,Completed
266,98,17,SELL,2023-03-20 15:37:54,10,169.8598,1698.6,8.09,Completed
267,19,30,BUY,2023-07-19 12:42:23,25,280.8891,7022.23,7.47,Completed
268,52,43,BUY,2023-07-05 14:52:42,500,487.2592,243629.6,5.6,Completed
269,1,26,SELL,2023-08-28 09:40:49,100,156.2177,15621.77,2.2,Completed
270,13,30,BUY,2023-07-31 12:25:36,100,291.6622,29166.22,2.99,Cancelled
271,16,6,BUY,2023-08-23 14:48:10,10,38.8879,388.88,1.49,Completed
272,48,30,SELL,2024-02-12 10:08:57,10,205.1585,2051.59,4.31,Completed
273,26,32,SELL,2024-01-05 15:40:20,50,334.8748,16743.74,3.69,Completed
274,76,32,BUY,2023-04-25 09:48:55,50,367.1984,18359.92,1.7,Completed
275,14,17,BUY,2023-08-18 10:39:05,10,174.2294,1742.29,0.84,Completed
276,18,45,SELL,2023-05-31 14:37:37,250,373.9112,93477.8,6.23,Completed
277,100,8,BUY,2023-11-30 10:41:17,25,18.9561,473.9,1.44,Completed
278,35,7,BUY,2023-05-26 11:15:23,10,49.8321,498.32,2.0,Completed
279,36,50,SELL,2023-05-22 10:09:57,10,373.6951,3736.95,7.92,Completed
280,77,1,BUY,2023-06-28 14:44:18,250,49.6024,12400.6,7.25,Cancelled
281,40,31,SELL,2023-09-04 12:40:33,25,242.939,6073.47,9.79,Completed
282,9,14,SELL,2023-04-06 11:41:42,10,102.041,1020.41,9.87,Completed
283,34,36,SELL,2023-09-29 15:33:03,25,334.9003,8372.51,5.33,Completed
284,55,3,BUY,2023-11-07 09:52:45,50,44.2851,2214.26,4.79,Completed
285,98,47,SELL,2023-12-20 09:50:40,50,549.8605,27493.03,5.11,Completed
286,32,4,BUY,2023-08-17 11:10:10,10,33.4098,334.1,6.09,Completed
287,30,26,SELL,2023-05-18 15:40:11,10,179.1378,1791.38,3.15,Completed
288,35,9,BUY,2024-01-11 12:05:58,10,30.5895,305.89,6.31,Completed
289,87,33,BUY,2023-06-26 11:37:13,50,381.299,19064.95,9.72,Completed
290,89,24,BUY,2023-09-08 13:41:54,250,165.1196,41279.9,1.45,Completed
291,100,3,BUY,2024-01-16 12:27:28,50,35.7159,1785.79,5.15,Completed
292,14,27,SELL,2024-01-03 13:54:23,50,296.2588,14812.94,9.43,Completed
293,34,50,SELL,2024-03-12 11:04:40,25,556.1705,13904.26,2.75,Completed
294,49,50,BUY,2023-11-09 12:21:15,100,372.7283,37272.83,7.58,Completed
295,36,2,BUY,2023-03-23 12:08:16,25,23.6792,591.98,1.21,Completed
296,26,25,BUY,2024-02-06 14:52:05,10,280.2242,2802.24,3.93,Completed
297,66,50,SELL,2023-05-02 15:23:28,50,393.7197,19685.99,8.02,Completed
298,2,40,BUY,2023-06-12 14:37:38,100,150.0323,15003.23,4.37,Pending
299,42,1,BUY,2023-06-30 12:15:18,10,29.5885,295.88,4.11,Completed
300,49,20,BUY,2023-06-23 15:59:47,10,182.3705,1823.7,0.21,Completed
301,3,9,BUY,2024-03-08 15:28:08,250,32.1174,8029.35,3.83,Completed
302,65,47,SELL,2024-01-15 10:36:07,50,361.8995,18094.97,7.23,Completed
303,92,10,BUY,2023-06-13 13:42:53,10,42.5366,425.37,5.57,Completed
304,29,41,BUY,2024-02-09 14:15:25,250,549.3861,137346.53,4.72,Completed
305,33,34,BUY,2023-04-18 11:36:45,250,192.1588,48039.7,2.15,Completed
306,47,42,BUY,2024-01-30 12:07:26,25,604.5566,15113.92,3.4,Pending
307,40,49,SELL,2023-12-29 10:17:24,25,395.9563,9898.91,7.52,Completed
308,7,18,SELL,2023-12-06 12:58:55,10,171.0375,1710.38,2.61,Completed
309,25,47,BUY,2023-05-19 10:14:26,10,563.9971,5639.97,4.05,Completed
310,2,30,BUY,2024-01-12 14:14:07,100,199.2517,19925.17,6.44,Completed
311,29,30,BUY,2023-04-06 13:06:27,10,290.8401,2908.4,0.78,Completed
312,15,40,BUY,2023-09-13 10:02:37,250,190.7366,47684.15,3.42,Completed
313,22,16,BUY,2023-08-24 13:25:45,25,109.4132,2735.33,3.43,Cancelled
314,59,36,BUY,2023-10-19 09:46:33,100,293.778,29377.8,2.42,Completed
315,66,44,SELL,2023-09-28 10:02:52,10,266.6339,2666.34,7.48,Completed
316,45,13,SELL,2023-06-20 10:29:55,25,198.2115,4955.29,8.68,Completed
317,37,15,BUY,2024-02-05 10:39:35,250,172.2719,43067.97,5.95,Completed
318,92,6,BUY,2023-03-21 11:25:45,100,38.8103,3881.03,2.85,Cancelled
319,83,24,BUY,2023-12-21 12:29:10,10,166.6003,1666.0,2.13,Completed
320,64,38,BUY,2023-07-31 12:15:43,25,255.8953,6397.38,7.38,Completed
321,62,32,BUY,2023-03-28 13:13:58,50,132.1969,6609.85,8.23,Completed
322,80,23,BUY,2024-02-20 10:13:07,50,260.1274,13006.37,9.68,Completed
323,99,14,BUY,2023-10-11 09:35:58,10,131.7128,1317.13,6.38,Completed
324,45,37,SELL,2023-05-31 15:28:51,500,103.5751,51787.55,4.6,Completed
