indicator_id,stock_id,calculation_date,sma_50,sma_200,rsi,volume_avg_30
39,1,2024-02-08,134.115,131.9248,72.22,7664680
40,1,2024-02-09,385.1676,371.9508,67.69,29080365
41,1,2024-02-12,344.2729,345.671,34.16,26486879
42,1,2024-02-13,426.2386,408.253,58.85,19812357
43,1,2024-02-14,465.5431,465.8284,49.74,23254397
44,1,2024-02-15,154.4988,147.0689,69.85,27585895
45,1,2024-02-16,150.8791,147.9702,70.37,7704274
46,1,2024-02-19,467.0794,458.2223,31.09,7038210
47,1,2024-02-20,192.3112,186.9481,32.59,20067399
48,1,2024-02-21,436.4949,438.7181,71.53,6931372
49,1,2024-02-22,141.8457,146.993,41.12,10889518
50,1,2024-02-23,80.9493,81.2703,68.35,25903798
51,1,2024-02-26,440.7146,420.5392,62.28,24811504
52,1,2024-02-27,486.4778,467.4253,48.38,24054190
53,1,2024-02-28,293.9582,287.2557,29.78,25338214
54,1,2024-02-29,353.3594,340.4504,48.19,5640330
55,1,2024-03-01,153.2231,150.3962,56.36,8094375
56,1,2024-03-04,482.7655,495.9482,42.62,5782584
57,1,2024-03-05,234.2164,229.6609,41.12,23248729
58,1,2024-03-06,261.717,271.0454,53.66,21720284
59,1,2024-03-07,289.7142,281.0036,46.83,13567332
60,1,2024-03-08,197.0638,187.8867,33.07,8435626
61,1,2024-03-11,491.7294,467.6071,64.55,21983035
62,1,2024-03-12,316.5083,314.2947,25.93,15814620
63,1,2024-03-13,218.1568,224.3508,36.05,7650573
64,1,2024-03-14,205.6515,202.7651,50.31,24397746
65,1,2024-03-15,477.9149,469.3236,31.61,7328260
66,2,2023-12-18,194.4572,195.0207,41.33,15300628
67,2,2023-12-19,399.224,417.1553,69.06,18527823
68,2,2023-12-20,177.9892,171.1053,57.53,24044937
69,2,2023-12-21,380.7333,390.7423,33.05,23981542
70,2,2023-12-22,100.7373,97.6329,73.14,29120885
71,2,2023-12-25,146.6779,146.3321,55.96,7994223
72,2,2023-12-26,396.3712,403.1963,72.88,27211766
73,2,2023-12-27,214.4841,216.6354,52.16,9685631
74,2,2023-12-28,321.9751,315.1312,29.29,8895292
75,2,2023-12-29,253.6904,264.8337,64.78,27030976
76,2,2024-01-01,156.328,161.2118,48.56,17210400
77,2,2024-01-02,361.8077,378.3514,74.93,10740977
78,2,2024-01-03,232.904,240.5544,58.4,12323680
79,2,2024-01-04,281.55,286.6457,40.49,16778832
80,2,2024-01-05,295.166,284.551,63.81,20259494
81,2,2024-01-08,466.454,465.0257,43.7,16711645
82,2,2024-01-09,276.0633,282.2449,52.23,19350455
83,2,2024-01-10,444.9675,440.7411,73.53,6230831
84,2,2024-01-11,325.3707,333.6052,71.49,6104791
85,2,2024-01-12,497.6312,485.2324,48.81,16292233
86,2,2024-01-15,303.4156,303.2744,65.03,9275605
87,2,2024-01-16,214.2852,221.4149,66.02,7100194
88,2,2024-01-17,378.055,374.1801,74.09,28937734
89,2,2024-01-18,68.2842,69.6864,51.31,19551968
90,2,2024-01-19,281.3408,286.3274,31.65,9732225
91,2,2024-01-22,445.502,459.395,63.38,28612225
92,2,2024-01-23,267.2222,254.5796,74.93,11227210
93,2,2024-01-24,432.0107,413.0238,74.17,17720079
94,2,2024-01-25,113.4098,111.1997,25.02,16246021
95,2,2024-01-26,61.7293,63.513,72.58,9700909
96,2,2024-01-29,322.1255,318.0256,29.49,14290228
97,2,2024-01-30,184.3426,176.9043,67.5,22119810
98,2,2024-01-31,357.6112,364.8167,54.58,13344977
99,2,2024-02-01,374.7716,386.4739,49.74,15807441
100,2,2024-02-02,58.9381,58.7255,68.18,8152472
101,2,2024-02-05,126.6604,128.5434,32.18,22935374
102,2,2024-02-06,322.8988,309.9075,39.13,9117913
103,2,2024-02-07,288.2041,288.675,61.19,21705842
104,2,2024-02-08,66.5099,67.465,31.02,7798710
105,2,2024-02-09,108.4558,105.5621,29.8,15193110
106,2,2024-02-12,151.9052,149.4508,69.68,15031478
107,2,2024-02-13,214.4671,212.3326,44.34,17485124
108,2,2024-02-14,115.7961,113.3356,48.02,27422498
109,2,2024-02-15,408.2188,398.0483,56.35,13954747
110,2,2024-02-16,256.4568,253.765,33.82,27177465
111,2,2024-02-19,313.081,318.8381,56.65,7683650
112,2,2024-02-20,473.1082,471.9355,25.63,13620145
113,2,2024-02-21,104.1045,102.8984,33.66,29103294
114,2,2024-02-22,386.2905,390.1723,69.57,9904181
115,2,2024-02-23,270.4994,270.3591,49.75,24984067
116,2,2024-02-26,436.1223,434.7433,34.61,20385068
117,2,2024-02-27,412.8922,413.0205,27.75,15060345
118,2,2024-02-28,414.4549,416.9088,56.74,19774310
119,2,2024-02-29,299.9326,303.9859,46.2,8383083
120,2,2024-03-01,388.0594,391.7049,59.96,6389097
121,2,2024-03-04,249.0281,253.1541,48.89,14567183
122,2,2024-03-05,441.01,450.8676,29.86,24946120
123,2,2024-03-06,482.5319,469.34,29.35,17847759
124,2,2024-03-07,307.6316,293.8297,60.37,25028799
125,2,2024-03-08,440.2113,450.4105,58.08,17005689
126,2,2024-03-11,215.0341,210.1294,68.58,28146376
127,2,2024-03-12,336.3768,342.3773,36.55,28989116
128,2,2024-03-13,94.6794,93.1327,39.24,5621233
129,2,2024-03-14,160.5701,166.3034,56.86,28057955
130,2,2024-03-15,383.2364,377.1868,56.36,16220335
131,3,2023-12-18,386.8264,374.0964,52.43,20729535
132,3,2023-12-19,254.432,246.1342,30.24,12936625
133,3,2023-12-20,387.242,392.6724,48.41,20666229
134,3,2023-12-21,60.7732,59.4768,49.51,5271089
135,3,2023-12-22,208.1818,201.9696,39.79,18044150
136,3,2023-12-25,228.1428,238.2032,63.27,22561332
137,3,2023-12-26,433.3568,443.9081,57.63,19693270
138,3,2023-12-27,244.3818,242.4883,63.55,16038881
139,3,2023-12-28,225.1473,214.1269,29.41,13980017
140,3,2023-12-29,192.8128,201.2473,45.0,28996422
141,3,2024-01-01,282.3337,291.7902,70.62,27380846
142,3,2024-01-02,413.218,412.6625,35.11,26885573
143,3,2024-01-03,413.2975,411.3879,26.05,19326780
144,3,2024-01-04,490.6925,511.9583,48.9,9732339
145,3,2024-01-05,217.6233,220.0528,47.33,17755137
146,3,2024-01-08,211.2291,206.9129,69.72,27671386
147,3,2024-01-09,163.7873,165.7429,48.2,17909709
148,3,2024-01-10,272.9319,274.6099,36.03,16132747
149,3,2024-01-11,239.9654,244.7219,58.79,26147472
150,3,2024-01-12,64.3604,62.9578,52.6,8773022
151,3,2024-01-15,197.9336,196.026,43.24,18932151
152,3,2024-01-16,337.5522,324.0217,44.69,7607493
153,3,2024-01-17,334.3529,339.6528,43.99,23626213
154,3,2024-01-18,426.4649,408.3934,61.42,24048556
155,3,2024-01-19,271.4631,280.4562,57.88,6287193
156,3,2024-01-22,63.0125,63.5415,50.88,16925123
157,3,2024-01-23,381.1725,382.1894,62.36,21750550
158,3,2024-01-24,239.678,235.1686,37.25,5269567
159,3,2024-01-25,328.411,320.861,49.07,25276184
160,3,2024-01-26,72.9758,72.1479,51.0,29063216
161,3,2024-01-29,480.2339,486.9223,39.13,20292551
162,3,2024-01-30,331.082,319.7748,34.09,16591708
163,3,2024-01-31,202.7203,197.7126,31.51,20793763
164,3,2024-02-01,143.7511,149.1006,65.3,14321141
165,3,2024-02-02,362.0198,376.5259,48.73,25013309
166,3,2024-02-05,343.1055,328.673,34.13,11730860
167,3,2024-02-06,256.9354,260.3093,48.39,8444644
168,3,2024-02-07,51.2609,48.768,32.85,15476424
169,3,2024-02-08,251.5025,240.0123,74.81,8235373
170,3,2024-02-09,52.1111,50.1533,56.9,20347619
171,3,2024-02-12,132.6569,138.2126,64.99,22270538
172,3,2024-02-13,344.8631,345.0034,61.87,15008580
173,3,2024-02-14,245.3011,241.7579,48.49,9984698
174,3,2024-02-15,365.3097,368.1108,66.89,15106641
175,3,2024-02-16,484.9223,495.8246,47.86,24679642
176,3,2024-02-19,143.9458,147.6424,33.49,14472749
177,3,2024-02-20,471.9489,461.5455,25.57,26222438
178,3,2024-02-21,308.0796,297.6828,64.55,24175825
179,3,2024-02-22,402.1352,396.0002,56.62,27875977
180,3,2024-02-23,396.7476,379.6124,58.45,5155921
181,3,2024-02-26,154.4086,150.0799,60.68,10674253
182,3,2024-02-27,426.3349,415.9428,40.73,25884457
183,3,2024-02-28,333.0146,321.5674,36.69,11176611
184,3,2024-02-29,231.8862,223.1808,31.4,15587002
185,3,2024-03-01,300.0678,299.4365,41.86,28882036
186,3,2024-03-04,239.1538,250.8275,69.27,16681855
187,3,2024-03-05,404.406,392.7574,46.41,16788214
188,3,2024-03-06,382.414,388.035,59.35,26742279
189,3,2024-03-07,245.357,254.8712,27.63,12440212
190,3,2024-03-08,451.2009,455.662,65.08,6667102
191,3,2024-03-11,100.0052,99.6744,71.88,13172305
192,3,2024-03-12,368.7896,364.3536,30.63,26487105
193,3,2024-03-13,103.9524,108.1527,51.69,28582839
194,3,2024-03-14,259.9015,247.2218,46.19,28735490
195,3,2024-03-15,411.2246,397.2763,58.3,24871340
196,4,2023-12-18,460.3491,445.9324,55.13,26370645
197,4,2023-12-19,220.4586,221.7692,47.29,27943222
198,4,2023-12-20,338.6258,329.299,41.65,29996826
199,4,2023-12-21,391.5708,404.5522,47.7,5108573
200,4,2023-12-22,427.1657,438.4112,26.85,8390090
201,4,2023-12-25,250.0002,256.9488,26.64,21773290
202,4,2023-12-26,448.4996,432.419,34.74,29031384
203,4,2023-12-27,446.033,457.3714,30.21,13053269
204,4,2023-12-28,301.6774,293.4193,44.94,22891205
205,4,2023-12-29,74.6208,74.1546,44.54,8855786
206,4,2024-01-01,228.9474,220.7465,66.17,20535706
207,4,2024-01-02,159.5211,167.0018,30.58,17311965
208,4,2024-01-03,130.26,131.4536,73.04,12217251
209,4,2024-01-04,169.742,171.1226,65.15,6780497
210,4,2024-01-05,204.0253,203.9988,35.27,23287501
211,4,2024-01-08,423.9747,411.2229,73.09,6986826
212,4,2024-01-09,153.2516,149.897,57.38,25778994
213,4,2024-01-10,299.4487,304.8769,37.63,27511793
214,4,2024-01-11,364.1902,354.8505,67.43,24872092
215,4,2024-01-12,394.8552,388.7676,61.25,9243832
216,4,2024-01-15,303.5492,300.1008,32.12,10745420
217,4,2024-01-16,161.7232,161.6169,48.58,19338544
218,4,2024-01-17,360.2557,364.7062,61.6,21313923
219,4,2024-01-18,246.8883,254.5207,73.15,29768953
220,4,2024-01-19,80.1809,78.5566,62.91,15821398
221,4,2024-01-22,148.4824,150.4222,62.42,8221236
222,4,2024-01-23,341.0221,347.0902,53.11,14796270
223,4,2024-01-24,206.3155,202.1826,31.35,27304487
224,4,2024-01-25,246.4375,246.7336,33.33,7927543
225,4,2024-01-26,377.7955,384.2097,69.08,23509805
226,4,2024-01-29,317.6079,310.0218,28.53,14046763
227,4,2024-01-30,165.4469,173.2056,52.2,9015974
228,4,2024-01-31,262.5191,263.0384,33.46,18926385
229,4,2024-02-01,471.8897,473.2999,55.95,21383186
230,4,2024-02-02,382.6966,370.6186,46.53,5044433
231,4,2024-02-05,203.4823,213.6094,58.39,21982368
232,4,2024-02-06,168.3357,168.1729,63.2,28643787
233,4,2024-02-07,418.5632,435.7416,41.39,23495856
234,4,2024-02-08,324.637,326.2015,49.81,12384018
235,4,2024-02-09,197.7691,202.5163,65.84,14110891
236,4,2024-02-12,115.5421,121.2118,55.57,21742561
237,4,2024-02-13,457.1348,472.5742,74.47,28465899
238,4,2024-02-14,494.7804,480.4064,56.12,6873654
239,4,2024-02-15,457.6838,474.3697,44.78,29902096
240,4,2024-02-16,187.1461,184.1424,45.93,28710431
241,4,2024-02-19,423.1338,403.6456,25.62,20080612
242,4,2024-02-20,337.0259,333.104,52.15,16110608
243,4,2024-02-21,419.0958,422.5703,28.85,21814022
244,4,2024-02-22,480.8852,472.7718,39.53,20252458
245,4,2024-02-23,290.2652,298.2454,35.12,16904882
246,4,2024-02-26,248.0612,260.2344,30.83,28878309
247,4,2024-02-27,113.2137,109.4995,52.15,22627370
248,4,2024-02-28,388.0741,380.6814,63.37,24816989
249,4,2024-02-29,119.9823,114.6676,60.92,28974130
250,4,2024-03-01,304.5391,298.8194,47.95,22022545
251,4,2024-03-04,495.8706,502.1263,50.09,18493037
252,4,2024-03-05,241.798,248.5262,46.62,21170759
253,4,2024-03-06,291.8647,289.6967,43.66,8461087
254,4,2024-03-07,293.5417,297.203,64.06,11572426
255,4,2024-03-08,448.2307,449.2444,50.91,26730257
256,4,2024-03-11,374.1734,372.5765,71.12,24384328
257,4,2024-03-12,190.3618,186.6147,51.36,7524861
258,4,2024-03-13,185.0122,186.0403,41.89,14191381
259,4,2024-03-14,122.5393,118.3314,30.06,19832600
260,4,2024-03-15,240.9428,237.3729,59.42,24313612
261,5,2023-12-18,179.8918,186.4904,59.78,12934859
262,5,2023-12-19,93.8386,93.4835,32.17,19465878
263,5,2023-12-20,277.4894,277.4267,46.74,16833412
264,5,2023-12-21,484.7426,483.3275,34.09,13139319
265,5,2023-12-22,389.5732,374.0202,67.83,22057267
266,5,2023-12-25,496.4167,515.6959,69.8,21485450
267,5,2023-12-26,302.1246,309.888,68.41,12155362
268,5,2023-12-27,438.4469,458.3846,52.58,14647948
269,5,2023-12-28,320.1841,310.8645,65.43,5091772
270,5,2023-12-29,102.5678,98.116,30.25,29991637
271,5,2024-01-01,449.8872,449.6982,65.18,8200674
272,5,2024-01-02,410.4382,400.1065,66.73,15943927
273,5,2024-01-03,371.866,369.4369,47.78,13252195
274,5,2024-01-04,402.831,391.9433,42.96,16704764
275,5,2024-01-05,327.2092,315.7632,61.76,19006219
276,5,2024-01-08,415.4394,430.9199,43.27,19858485
277,5,2024-01-09,241.0554,249.8343,31.49,7857993
278,5,2024-01-10,410.9196,400.8275,36.55,15055312
279,5,2024-01-11,178.9777,170.683,68.53,22291897
280,5,2024-01-12,343.8703,346.6633,40.67,5022249
281,5,2024-01-15,252.7786,255.7321,33.5,7179372
282,5,2024-01-16,138.8279,144.5753,67.29,14541477
283,5,2024-01-17,254.7201,266.9133,70.48,23307006
284,5,2024-01-18,408.3261,390.8766,74.35,19408420
285,5,2024-01-19,207.553,215.2674,38.9,12311576
286,5,2024-01-22,158.4547,152.127,37.8,6872653
287,5,2024-01-23,93.348,97.0055,57.63,16656296
288,5,2024-01-24,63.6209,64.5015,65.64,20888107
289,5,2024-01-25,241.5552,231.5307,25.62,14641891
290,5,2024-01-26,460.1276,448.5863,52.58,28412259
291,5,2024-01-29,286.6441,279.6477,44.77,21732873
292,5,2024-01-30,290.1584,277.8629,30.87,14701223
293,5,2024-01-31,333.9293,327.1658,30.96,26172470
294,5,2024-02-01,230.4117,223.7726,42.39,24603825
295,5,2024-02-02,75.3767,75.6083,57.74,20813102
296,5,2024-02-05,304.9568,318.9015,41.59,22762962
297,5,2024-02-06,100.8124,98.2695,64.59,27224262
298,5,2024-02-07,191.666,187.4378,29.17,17869794
299,5,2024-02-08,296.9408,292.6093,54.73,6237206
300,5,2024-02-09,344.3373,333.4228,47.07,19839862
301,5,2024-02-12,238.8911,248.3353,32.94,18857470
302,5,2024-02-13,496.2464,516.8571,52.81,9300656
303,5,2024-02-14,193.4732,198.6619,74.38,5328996
304,5,2024-02-15,395.2746,399.0922,58.34,6308767
305,5,2024-02-16,50.8758,53.2147,73.63,17360759
306,5,2024-02-19,233.9193,241.0646,37.44,20623543
307,5,2024-02-20,73.7065,75.23,63.83,14343282
308,5,2024-02-21,72.3653,69.2654,58.59,9569353
309,5,2024-02-22,148.1695,144.7919,42.04,23747806
310,5,2024-02-23,184.3677,191.854,41.23,14329344
311,5,2024-02-26,224.1392,224.5851,48.24,28126367
312,5,2024-02-27,200.153,196.5906,65.05,29013453
313,5,2024-02-28,421.3896,422.474,53.33,9625200
314,5,2024-02-29,262.979,256.6218,57.82,17314986
315,5,2024-03-01,468.6177,482.7033,25.34,19120394
316,5,2024-03-04,308.9453,312.3547,28.22,16960857
317,5,2024-03-05,164.0998,156.0276,72.67,14810525
318,5,2024-03-06,130.017,125.8275,46.02,12888315
319,5,2024-03-07,315.8738,315.4521,67.74,17596136
320,5,2024-03-08,84.1231,86.3095,54.61,5064050
321,5,2024-03-11,457.8475,444.1891,58.57,17821207
322,5,2024-03-12,144.5504,137.9245,26.25,25242436
323,5,2024-03-13,214.3282,222.8842,74.45,13243382
324,5,2024-03-14,57.2414,59.4495,31.28,24217236
325,5,2024-03-15,117.6341,112.733,55.03,25030735
326,6,2023-12-18,67.6919,69.9925,61.5,28933524
327,6,2023-12-19,257.5565,251.8487,54.94,18006683
328,6,2023-12-20,350.0563,351.5157,66.51,26228681
329,6,2023-12-21,277.6059,283.695,66.66,13230665
330,6,2023-12-22,397.1052,398.2439,64.83,23391548
331,6,2023-12-25,128.0675,130.2573,53.47,5236192
332,6,2023-12-26,274.737,276.4295,37.58,26898710
333,6,2023-12-27,250.1753,248.5908,25.43,15792770
334,6,2023-12-28,56.7426,58.9422,70.06,24372874
335,6,2023-12-29,74.8129,75.1611,25.0,13960260
336,6,2024-01-01,73.983,76.0374,52.73,12230282
337,6,2024-01-02,121.8113,121.1545,58.37,21570212
338,6,2024-01-03,419.3634,413.4698,74.92,14565488
339,6,2024-01-04,471.3039,491.3971,60.95,24142993
340,6,2024-01-05,252.2024,247.2831,44.03,21156903
341,6,2024-01-08,62.7232,62.4369,71.43,10284535
342,6,2024-01-09,370.8392,377.1976,35.57,27584041
343,6,2024-01-10,454.9109,465.4247,48.44,6612373
344,6,2024-01-11,222.5903,220.0666,26.39,14251726
345,6,2024-01-12,119.3507,120.6606,61.87,8560758
346,6,2024-01-15,334.1479,324.8189,70.85,19324086
347,6,2024-01-16,176.0384,179.036,72.05,29493176
348,6,2024-01-17,280.2197,284.8698,69.4,17150630
349,6,2024-01-18,396.4561,400.4552,68.2,24954677
350,6,2024-01-19,327.0928,331.8542,41.73,15243377
351,6,2024-01-22,64.1644,63.0739,55.98,11178532
352,6,2024-01-23,328.1284,334.5829,55.48,11341944
353,6,2024-01-24,113.6317,118.6602,44.5,23969398
354,6,2024-01-25,170.4299,168.8285,59.16,23701711
355,6,2024-01-26,400.9998,396.734,34.59,19772951
356,6,2024-01-29,441.6562,445.0538,57.02,11522796
357,6,2024-01-30,228.1436,235.903,29.31,13280269
358,6,2024-01-31,438.8667,421.5665,61.72,14639996
359,6,2024-02-01,170.7933,178.892,53.21,5267187
360,6,2024-02-02,126.6064,129.3637,29.14,27238237
361,6,2024-02-05,132.8413,131.4219,43.68,10072525
362,6,2024-02-06,404.8855,411.4166,27.58,17368570
363,6,2024-02-07,449.4699,456.5302,57.95,13894011
364,6,2024-02-08,226.923,228.9617,61.98,12691028
365,6,2024-02-09,144.9437,139.7484,26.0,17759593
366,6,2024-02-12,247.4667,240.2901,71.02,6432288
367,6,2024-02-13,471.0126,454.8428,31.29,8379843
368,6,2024-02-14,309.8925,302.2345,49.44,25236259
369,6,2024-02-15,222.1825,217.7693,26.56,19305106
370,6,2024-02-16,266.7057,257.4322,71.6,29729569
371,6,2024-02-19,191.5421,184.0923,53.24,16304200
372,6,2024-02-20,400.172,400.6256,70.42,29917305
373,6,2024-02-21,239.6867,230.8441,62.17,24048886
374,6,2024-02-22,325.3986,329.719,47.53,23103429
375,6,2024-02-23,459.8367,438.2258,32.66,14739328
376,6,2024-02-26,352.6193,346.2971,37.91,25418241
377,6,2024-02-27,462.1344,475.1263,44.1,14843617
378,6,2024-02-28,67.5441,64.4321,73.64,17786627
379,6,2024-02-29,498.4671,506.9865,70.92,25253157
380,6,2024-03-01,346.4889,339.6755,27.79,16030774
381,6,2024-03-04,447.5647,432.1808,53.91,28986269
382,6,2024-03-05,426.2074,411.1748,25.85,14387317
383,6,2024-03-06,90.6251,93.8838,27.77,29442833
384,6,2024-03-07,387.2138,388.3749,63.64,17123118
385,6,2024-03-08,81.79,82.3496,46.6,6756503
386,6,2024-03-11,279.4419,289.5241,63.17,14175522
387,6,2024-03-12,313.4752,311.079,28.83,7009072
388,6,2024-03-13,274.732,278.9858,60.64,28079166
389,6,2024-03-14,100.5845,102.1939,49.54,29831411
390,6,2024-03-15,408.8788,413.0285,53.11,21490752
391,7,2023-12-18,115.9874,115.4012,61.15,28433682
392,7,2023-12-19,178.6716,173.6365,71.8,19378997
393,7,2023-12-20,218.1689,207.8054,60.92,6351904
394,7,2023-12-21,421.8688,401.1343,45.19,17548691
395,7,2023-12-22,110.311,107.9266,29.91,16235983
396,7,2023-12-25,411.0752,419.7083,48.96,24398307
397,7,2023-12-26,120.8456,115.1559,70.59,22947856
398,7,2023-12-27,473.5027,488.7493,50.54,15432928
399,7,2023-12-28,465.0668,460.0583,25.09,8660109
400,7,2023-12-29,369.7356,385.8754,49.26,12604917
401,7,2024-01-01,287.1035,277.3499,31.56,11242738
402,7,2024-01-02,349.9416,336.9794,43.21,11394640
403,7,2024-01-03,325.6784,324.4584,68.88,26805482
404,7,2024-01-04,287.77,288.7696,43.48,9354476
405,7,2024-01-05,320.053,314.3507,65.34,7973457
406,7,2024-01-08,306.793,302.5941,48.33,27851446
407,7,2024-01-09,465.2331,449.5543,32.6,19526934
408,7,2024-01-10,410.9152,397.911,66.49,23118705
409,7,2024-01-11,103.3921,101.1849,36.59,13571785
410,7,2024-01-12,135.9621,138.8212,36.43,15982129
411,7,2024-01-15,332.6646,321.0479,53.38,24177811
412,7,2024-01-16,219.1493,209.155,65.34,21937394
413,7,2024-01-17,343.5697,330.9447,38.49,21862596
414,7,2024-01-18,266.4795,270.1161,50.16,17144942
415,7,2024-01-19,384.9093,379.5257,62.03,9217959
416,7,2024-01-22,307.7442,302.5819,44.58,17061319
417,7,2024-01-23,195.4622,193.5131,49.12,15796800
418,7,2024-01-24,249.2641,257.8712,33.21,27314552
419,7,2024-01-25,280.0306,272.7316,50.26,11504913
420,7,2024-01-26,312.893,306.4292,72.38,15372970
421,7,2024-01-29,234.8098,229.2772,28.22,14661267
422,7,2024-01-30,126.4034,126.5594,73.06,7387301
423,7,2024-01-31,450.5569,462.175,60.08,13389538
424,7,2024-02-01,245.491,237.6515,70.64,11237263
425,7,2024-02-02,366.172,372.5801,31.47,19095020
426,7,2024-02-05,403.9503,395.1956,71.7,9979766
427,7,2024-02-06,374.1857,366.6329,72.22,10969585
428,7,2024-02-07,122.58,127.3775,39.89,24014756
429,7,2024-02-08,214.9623,212.855,52.33,27493738
430,7,2024-02-09,132.294,138.2112,49.42,14503429
431,7,2024-02-12,297.6501,300.8125,69.21,19659845
432,7,2024-02-13,258.5287,246.7916,70.72,7315213
433,7,2024-02-14,62.9907,65.2244,67.97,11714612
434,7,2024-02-15,404.7852,415.7297,29.05,5498407
435,7,2024-02-16,390.9209,404.3161,48.86,19810596
436,7,2024-02-19,126.0105,125.1926,62.27,19417958
437,7,2024-02-20,356.8681,355.5532,72.59,16704040
438,7,2024-02-21,359.4601,365.4218,55.38,24254716
439,7,2024-02-22,308.2322,317.1165,43.65,19765072
440,7,2024-02-23,342.2871,344.1162,52.29,19941674
441,7,2024-02-26,456.019,443.5298,62.65,12873751
442,7,2024-02-27,427.1214,415.3303,32.22,5898234
443,7,2024-02-28,119.1978,118.3878,30.35,5450779
444,7,2024-02-29,450.7007,465.375,40.12,19569242
445,7,2024-03-01,302.4604,291.2711,25.59,17055124
446,7,2024-03-04,183.4959,189.6351,31.34,29643056
447,7,2024-03-05,334.8208,329.1039,60.81,22321080
448,7,2024-03-06,215.0109,206.7265,71.04,21681871
449,7,2024-03-07,325.46,322.4243,52.98,6115168
450,7,2024-03-08,312.9901,309.8687,35.12,5018852
451,7,2024-03-11,158.8305,164.0833,35.48,27141525
452,7,2024-03-12,177.4744,178.9605,66.56,28302045
453,7,2024-03-13,272.5862,281.9128,32.95,20859561
454,7,2024-03-14,100.1859,95.8187,37.0,12405963
455,7,2024-03-15,451.5046,468.5139,32.5,26821780
456,8,2023-12-18,498.9083,477.454,43.2,24073931
457,8,2023-12-19,229.4306,225.2323,41.57,6059308
458,8,2023-12-20,472.0565,488.9421,32.95,21196665
459,8,2023-12-21,305.7334,312.6769,29.12,24288500
460,8,2023-12-22,216.071,215.1442,32.12,17715737
461,8,2023-12-25,166.4035,164.7178,44.77,26038020
462,8,2023-12-26,360.0455,373.6833,31.99,13961920
463,8,2023-12-27,133.6205,129.2139,70.0,23838730
464,8,2023-12-28,96.8544,97.2245,40.67,15773004
465,8,2023-12-29,219.6368,211.1455,40.94,29958516
466,8,2024-01-01,287.6929,277.5961,51.01,19169069
467,8,2024-01-02,440.9061,448.2633,64.63,26530174
468,8,2024-01-03,247.0819,259.312,65.66,27948870
469,8,2024-01-04,330.561,335.0875,48.99,12785470
470,8,2024-01-05,451.4668,448.8549,26.24,26084909
471,8,2024-01-08,435.0173,427.3579,43.48,16269246
472,8,2024-01-09,222.1125,232.2033,33.61,16454288
473,8,2024-01-10,104.1568,105.5351,30.43,17988620
474,8,2024-01-11,237.0746,247.8014,34.71,5387278
475,8,2024-01-12,342.2237,343.9975,48.86,18055606
476,8,2024-01-15,265.8848,260.4065,68.12,21431783
477,8,2024-01-16,147.1836,148.3099,68.5,10518903
478,8,2024-01-17,418.1197,420.0973,74.48,9453224
479,8,2024-01-18,262.0723,255.8602,63.45,23602515
480,8,2024-01-19,410.0707,408.8478,29.78,10654130
481,8,2024-01-22,178.0835,172.5255,35.02,9061346
482,8,2024-01-23,406.9459,405.5221,46.71,15239358
483,8,2024-01-24,183.3238,179.5387,29.68,14860584
